,Level1,Level2,Level3,Level4,Total
42,2011-2014,10,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,1
43,2014-2017,11,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,1
44,2005-2008,12,Conditional mean field,Sequential Monte Carlo for Graphical Models,1
45,2005-2008,13,Progressive mixture rules are deviation suboptimal,Greedy Model Averaging,1
46,1999-2002,0,Laplacian Eigenmaps and Spectral Techniques for Embedding and Clustering,Locality Preserving Projections,1
47,1987-1990,1,Fast Learning in Multi-Resolution Hierarchies,The Cascade-Correlation Learning Architecture,1
48,1987-1990,1,Fast Learning in Multi-Resolution Hierarchies,Leaning by Combining Memorization and Gradient Descent,1
49,1987-1990,1,Fast Learning in Multi-Resolution Hierarchies,Neural Control for Rolling Mills: Incorporating Domain Theories to Overcome Data Deficiency,1
50,2008-2011,2,Large Margin Multi-Task Metric Learning,Similarity Component Analysis,1
51,2011-2014,3,Learning Stochastic Inverses,Just-In-Time Learning for Fast and Flexible Inference,1
52,2005-2008,4,How SVMs can estimate quantiles and the median,Sparsity of SVMs that use the epsilon-insensitive loss,1
53,1993-1996,5,A Charge-Based CMOS Parallel Analog Vector Quantizer,Stochastic Mixed-Signal VLSI Architecture for High-Dimensional Kernel Machines,1
54,2005-2008,6,A general agnostic active learning algorithm,Linear Classification and Selective Sampling Under Low Noise Conditions,1
55,2005-2008,6,A general agnostic active learning algorithm,Sufficient Conditions for Agnostic Active Learnable,1
56,2005-2008,6,A general agnostic active learning algorithm,Multi-View Active Learning in the Non-Realizable Case,1
57,2005-2008,6,A general agnostic active learning algorithm,Agnostic Active Learning Without Constraints,1
58,2005-2008,6,A general agnostic active learning algorithm,Active Learning with a Drifting Distribution,1
59,2005-2008,6,A general agnostic active learning algorithm,Lower Bounds for Passive and Active Learning,1
60,2005-2008,6,A general agnostic active learning algorithm,Agnostic Selective Classification,1
61,2005-2008,6,A general agnostic active learning algorithm,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,1
62,2005-2008,6,A general agnostic active learning algorithm,Auditing: Active Learning with Outcome-Dependent Query Costs,1
63,2005-2008,6,A general agnostic active learning algorithm,Statistical Active Learning Algorithms,1
64,2005-2008,6,A general agnostic active learning algorithm,Beyond Disagreement-Based Agnostic Active Learning,1
65,2005-2008,6,A general agnostic active learning algorithm,Active Regression by Stratification,1
66,2005-2008,6,A general agnostic active learning algorithm,Convergence Rates of Active Learning for Maximum Likelihood Estimation,1
67,2005-2008,6,A general agnostic active learning algorithm,Efficient and Parsimonious Agnostic Active Learning,1
68,2005-2008,6,A general agnostic active learning algorithm,Active Learning from Weak and Strong Labelers,1
69,2005-2008,6,A general agnostic active learning algorithm,Active Learning with Oracle Epiphany,1
70,2005-2008,6,A general agnostic active learning algorithm,Active Learning from Imperfect Labelers,1
71,2005-2008,6,A general agnostic active learning algorithm,Search Improves Label for Active Learning,1
72,1999-2002,7,Structure Learning in Human Causal Induction,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1
73,1999-2002,7,Structure Learning in Human Causal Induction,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,1
74,2011-2014,8,MCMC for continuous-time discrete-state systems,Approximate inference in latent Gaussian-Markov models from continuous time observations,1
75,1999-2002,9,Learning Attractor Landscapes for Learning Motor Primitives,Probabilistic Movement Primitives,1
76,1999-2002,9,Learning Attractor Landscapes for Learning Motor Primitives,Model-Based Relative Entropy Stochastic Search,1
77,2002-2005,10,Learning Attractor Landscapes for Learning Motor Primitives,Probabilistic Movement Primitives,1
78,2002-2005,10,Learning Attractor Landscapes for Learning Motor Primitives,Model-Based Relative Entropy Stochastic Search,1
79,2011-2014,11,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1
80,2014-2017,12,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1
81,1993-1996,13,Learning from Demonstration,Probabilistic Movement Primitives,1
82,1996-1999,0,Learning from Demonstration,Probabilistic Movement Primitives,1
83,2008-2011,1,High-dimensional regression with noisy and missing data: Provable guarantees with non-convexity,Structure estimation for discrete graphical models: Generalized covariance matrices and their inverses,1
84,2008-2011,1,High-dimensional regression with noisy and missing data: Provable guarantees with non-convexity,Regularized M-estimators with nonconvexity: Statistical and algorithmic theory for local optima,1
85,2008-2011,1,High-dimensional regression with noisy and missing data: Provable guarantees with non-convexity,Regularized EM Algorithms: A Unified Framework and Statistical Guarantees,1
86,2011-2014,2,High-dimensional regression with noisy and missing data: Provable guarantees with non-convexity,Structure estimation for discrete graphical models: Generalized covariance matrices and their inverses,1
87,2011-2014,2,High-dimensional regression with noisy and missing data: Provable guarantees with non-convexity,Regularized M-estimators with nonconvexity: Statistical and algorithmic theory for local optima,1
88,2011-2014,2,High-dimensional regression with noisy and missing data: Provable guarantees with non-convexity,Regularized EM Algorithms: A Unified Framework and Statistical Guarantees,1
89,2008-2011,3,Crowdclustering,Semi-Crowdsourced Clustering: Generalizing Crowd Labeling by Robust Distance Metric Learning,1
90,2008-2011,3,Crowdclustering,Crowdsourced Clustering: Querying Edges vs Triangles,1
91,2011-2014,4,Crowdclustering,Semi-Crowdsourced Clustering: Generalizing Crowd Labeling by Robust Distance Metric Learning,1
92,2011-2014,4,Crowdclustering,Crowdsourced Clustering: Querying Edges vs Triangles,1
93,2008-2011,5,Learning Non-Linear Combinations of Kernels,Learning Kernels with Radiuses of Minimum Enclosing Balls,1
94,2008-2011,6,Rates of convergence for the cluster tree,Cluster Trees on Manifolds,1
95,2008-2011,6,Rates of convergence for the cluster tree,"Graphons, mergeons, and so on!",1
96,2008-2011,6,Rates of convergence for the cluster tree,Statistical Inference for Cluster Trees,1
97,1993-1996,7,Gaussian Processes for Regression,Regression with Input-dependent Noise: A Gaussian Process Treatment,1
98,1993-1996,7,Gaussian Processes for Regression,Mean Field Methods for Classification with Gaussian Processes,1
99,1993-1996,7,Gaussian Processes for Regression,General Bounds on Bayes Errors for Regression with Gaussian Processes,1
100,1993-1996,7,Gaussian Processes for Regression,Efficient Approaches to Gaussian Process Classification,1
101,1993-1996,7,Gaussian Processes for Regression,"Bayesian Model Selection for Support Vector Machines, Gaussian Processes and Other Kernel Classifiers",1
102,1993-1996,7,Gaussian Processes for Regression,The Infinite Gaussian Mixture Model,1
103,1993-1996,7,Gaussian Processes for Regression,Predictive App roaches for Choosing Hyperparameters in Gaussian Processes,1
104,1993-1996,7,Gaussian Processes for Regression,Learning Curves for Gaussian Processes Regression: A Framework for Good Approximations,1
105,1993-1996,7,Gaussian Processes for Regression,Computing with Finite and Infinite Networks,1
106,1993-1996,7,Gaussian Processes for Regression,Infinite Mixtures of Gaussian Process Experts,1
107,1993-1996,7,Gaussian Processes for Regression,Bayesian Monte Carlo,1
108,1993-1996,7,Gaussian Processes for Regression,Gaussian Process Priors with Uncertain Inputs Application to Multiple-Step Ahead Time Series Forecasting,1
109,1993-1996,7,Gaussian Processes for Regression,Nonstationary Covariance Functions for Gaussian Process Regression,1
110,1993-1996,7,Gaussian Processes for Regression,Warped Gaussian Processes,1
111,1993-1996,7,Gaussian Processes for Regression,Fast Gaussian Process Regression using KD-Trees,1
112,1993-1996,7,Gaussian Processes for Regression,Sparse Gaussian Processes using Pseudo-inputs,1
113,1993-1996,7,Gaussian Processes for Regression,Bayesian Warped Gaussian Processes,1
114,1993-1996,7,Gaussian Processes for Regression,Bayesian optimization under mixed constraints  with a slack-variable augmented Lagrangian,1
115,2011-2014,8,Streaming Variational Bayes,Coresets for Scalable Bayesian Logistic Regression,1
116,2005-2008,9,Improving on Expectation Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,1
117,2008-2011,10,Improving on Expectation Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,1
118,2002-2005,11,Confidence Intervals for the Area Under the ROC Curve,Learning to Rank with Nonsmooth Cost Functions,1
119,2005-2008,12,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,1
120,2005-2008,12,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,1
121,2005-2008,12,Mixed Membership Stochastic Blockmodels,Capturing Semantically Meaningful Word Dependencies with an Admixture of Poisson MRFs,1
122,2005-2008,12,Mixed Membership Stochastic Blockmodels,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,1
123,2008-2011,13,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,1
124,2008-2011,13,Mixed Membership Stochastic Blockmodels,Random function priors for exchangeable arrays with applications to graphs and relational data,1
125,2008-2011,13,Mixed Membership Stochastic Blockmodels,Capturing Semantically Meaningful Word Dependencies with an Admixture of Poisson MRFs,1
126,2008-2011,13,Mixed Membership Stochastic Blockmodels,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,1
127,2014-2017,0,A Universal Catalyst for First-Order Optimization,Exploiting the Structure: Stochastic Gradient Methods Using Raw Clusters,1
128,2002-2005,1,Coarse sample complexity bounds for active learning,Active learning for misspecified generalized linear models,1
129,2002-2005,1,Coarse sample complexity bounds for active learning,A general agnostic active learning algorithm,1
130,2002-2005,1,Coarse sample complexity bounds for active learning,Nearest-Neighbor-Based Active Learning for Rare Category Detection,1
131,2002-2005,1,Coarse sample complexity bounds for active learning,Sufficient Conditions for Agnostic Active Learnable,1
132,2002-2005,1,Coarse sample complexity bounds for active learning,Multi-View Active Learning in the Non-Realizable Case,1
133,2002-2005,1,Coarse sample complexity bounds for active learning,Agnostic Active Learning Without Constraints,1
134,2002-2005,1,Coarse sample complexity bounds for active learning,Near-Optimal Bayesian Active Learning with Noisy Observations,1
135,2002-2005,1,Coarse sample complexity bounds for active learning,Extensions of Generalized Binary Search to Group Identification and Exponential Costs,1
136,2002-2005,1,Coarse sample complexity bounds for active learning,Active Learning with a Drifting Distribution,1
137,2002-2005,1,Coarse sample complexity bounds for active learning,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,1
138,2002-2005,1,Coarse sample complexity bounds for active learning,Buy-in-Bulk Active Learning,1
139,2002-2005,1,Coarse sample complexity bounds for active learning,Statistical Active Learning Algorithms,1
140,2002-2005,1,Coarse sample complexity bounds for active learning,Beyond Disagreement-Based Agnostic Active Learning,1
141,2002-2005,1,Coarse sample complexity bounds for active learning,Convergence Rates of Active Learning for Maximum Likelihood Estimation,1
142,2002-2005,1,Coarse sample complexity bounds for active learning,Efficient and Parsimonious Agnostic Active Learning,1
143,2002-2005,1,Coarse sample complexity bounds for active learning,Active Learning from Weak and Strong Labelers,1
144,2002-2005,1,Coarse sample complexity bounds for active learning,Active Learning from Imperfect Labelers,1
145,2002-2005,1,Coarse sample complexity bounds for active learning,Search Improves Label for Active Learning,1
146,2005-2008,2,Coarse sample complexity bounds for active learning,Active learning for misspecified generalized linear models,1
147,2005-2008,2,Coarse sample complexity bounds for active learning,A general agnostic active learning algorithm,1
148,2005-2008,2,Coarse sample complexity bounds for active learning,Nearest-Neighbor-Based Active Learning for Rare Category Detection,1
149,2005-2008,2,Coarse sample complexity bounds for active learning,Sufficient Conditions for Agnostic Active Learnable,1
150,2005-2008,2,Coarse sample complexity bounds for active learning,Multi-View Active Learning in the Non-Realizable Case,1
151,2005-2008,2,Coarse sample complexity bounds for active learning,Agnostic Active Learning Without Constraints,1
152,2005-2008,2,Coarse sample complexity bounds for active learning,Near-Optimal Bayesian Active Learning with Noisy Observations,1
153,2005-2008,2,Coarse sample complexity bounds for active learning,Extensions of Generalized Binary Search to Group Identification and Exponential Costs,1
154,2005-2008,2,Coarse sample complexity bounds for active learning,Active Learning with a Drifting Distribution,1
155,2005-2008,2,Coarse sample complexity bounds for active learning,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,1
156,2005-2008,2,Coarse sample complexity bounds for active learning,Buy-in-Bulk Active Learning,1
157,2005-2008,2,Coarse sample complexity bounds for active learning,Statistical Active Learning Algorithms,1
158,2005-2008,2,Coarse sample complexity bounds for active learning,Beyond Disagreement-Based Agnostic Active Learning,1
159,2005-2008,2,Coarse sample complexity bounds for active learning,Convergence Rates of Active Learning for Maximum Likelihood Estimation,1
160,2005-2008,2,Coarse sample complexity bounds for active learning,Efficient and Parsimonious Agnostic Active Learning,1
161,2005-2008,2,Coarse sample complexity bounds for active learning,Active Learning from Weak and Strong Labelers,1
162,2005-2008,2,Coarse sample complexity bounds for active learning,Active Learning from Imperfect Labelers,1
163,2005-2008,2,Coarse sample complexity bounds for active learning,Search Improves Label for Active Learning,1
164,1987-1990,3,Winner-Take-All Networks of O(N) Complexity,A Neural Network Classifier for the I100 OCR Chip,1
165,2008-2011,4,A unified framework for high-dimensional analysis of ,Generalized Dantzig Selector: Application to the k-support norm,1
166,2002-2005,5,Measure Based Regularization,Convergence of Laplacian Eigenmaps,1
167,2002-2005,5,Measure Based Regularization,Statistical Analysis of Semi-Supervised Learning: The Limit of Infinite Unlabelled Data,1
168,1987-1990,6,Time Dependent Adaptive Neural Networks,Adjoint-Functions and Temporal Learning Algorithms in Neural Networks,1
169,1996-1999,7,Predictive Sequence Learning in Recurrent Neocortical Circuits,Citcuits for VLSI Implementation of Temporally Asymmetric Hebbian Learning,1
170,1999-2002,8,Predictive Sequence Learning in Recurrent Neocortical Circuits,Citcuits for VLSI Implementation of Temporally Asymmetric Hebbian Learning,1
171,2008-2011,9,Learning Bounds for Importance Weighting,Sample Complexity Bounds for Iterative Stochastic Policy Optimization,1
172,2014-2017,10,Active Learning from Weak and Strong Labelers,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,1
173,2014-2017,10,Active Learning from Weak and Strong Labelers,The Multi-fidelity Multi-armed Bandit,1
174,2011-2014,11,Convex Deep Learning via Normalized Kernels,Tensor Switching Networks,1
175,2014-2017,12,Convex Deep Learning via Normalized Kernels,Tensor Switching Networks,1
176,2011-2014,13,New Rules for Domain Independent Lifted MAP Inference,Fast Lifted MAP Inference via Partitioning,1
177,2014-2017,0,New Rules for Domain Independent Lifted MAP Inference,Fast Lifted MAP Inference via Partitioning,1
178,2011-2014,1,Deep content-based music recommendation,SoundNet: Learning Sound Representations from Unlabeled Video,1
179,2011-2014,1,Deep content-based music recommendation,Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in the Blanks,1
180,2011-2014,2,Expectation Propagation in Gaussian Process Dynamical Systems,Gaussian Process Volatility Model,1
181,1999-2002,3,Direct value-approximation for factored MDPs,Value-Directed Compression of POMDPs,1
182,1999-2002,3,Direct value-approximation for factored MDPs,Linear Program Approximations for Factored Continuous-State Markov Decision Processes,1
183,2005-2008,4,Neural characterization in partially observed populations of spiking neurons,Sequence learning with hidden units in spiking neural networks,1
184,2005-2008,4,Neural characterization in partially observed populations of spiking neurons,Inferring neural population dynamics from multiple partial recordings of the same neural circuit,1
185,2005-2008,4,Neural characterization in partially observed populations of spiking neurons,On the relations of LFPs & Neural Spike Trains,1
186,2008-2011,5,Variational bounds for mixed-data factor analysis,Infinite Latent SVM for Classification and Multi-task Learning,1
187,1996-1999,6,Exploiting Generative Models in Discriminative Classifiers,Speech Recognition using SVMs,1
188,2005-2008,7,Clustering appearance and shape by learning jigsaws,Nonparametric Bayesian Texture Learning and Synthesis,1
189,2005-2008,7,Clustering appearance and shape by learning jigsaws,Learned Region Sparsity and Diversity Also Predicts Visual Attention,1
190,2008-2011,8,Variational Inference over Combinatorial Spaces,Bayesian Pedigree Analysis using Measure Factorization,1
191,1999-2002,9,Reducing multiclass to binary by coupling probability estimates,A Generalized Bradley-Terry Model: From Group Competition to Individual Skill,1
192,2002-2005,10,Perspectives on Sparse Bayesian Learning,Using Bayesian Dynamical Systems for Motion Template Libraries,1
193,2008-2011,11,Spatial Normalized Gamma Processes,Construction of Dependent Dirichlet Processes based on Poisson Processes,1
194,2008-2011,11,Spatial Normalized Gamma Processes,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,1
195,2002-2005,12,Sparse Gaussian Processes using Pseudo-inputs,Understanding Probabilistic Sparse Gaussian Process Approximations,1
196,2005-2008,13,Sparse Gaussian Processes using Pseudo-inputs,Understanding Probabilistic Sparse Gaussian Process Approximations,1
197,1999-2002,0,Multiagent Planning with Factored MDPs,Symbolic Opportunistic Policy Iteration for Factored-Action MDPs,1
198,2005-2008,1,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,1
199,2008-2011,2,Interpreting the neural code with Formal Concept Analysis,Categories and Functional Units: An Infinite Hierarchical Model for Brain Activations,1
200,1993-1996,3,Improving Elevator Performance Using Reinforcement Learning,Convergent Temporal-Difference Learning with Arbitrary Smooth Function Approximation,1
201,1999-2002,4,A Generalization of Principal Components Analysis to the Exponential Family,Generalized Nonnegative Matrix Approximations with Bregman Divergences,1
202,1990-1993,5,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,1
203,1990-1993,5,Neural Network Model Selection Using Asymptotic Jackknife Estimator and Cross-Validation Method,Robust Parameter Estimation and Model Selection for Neural Network Regression,1
204,2005-2008,6,Variational inference for Markov jump processes,Approximate inference in continuous time Gaussian-Jump processes,1
205,2005-2008,6,Variational inference for Markov jump processes,Approximate inference in latent Gaussian-Markov models from continuous time observations,1
206,2008-2011,7,Batch Bayesian Optimization via Simulation Matching,Parallel Predictive Entropy Search for Batch Global Optimization of Expensive Objective Functions,1
207,1999-2002,8,On Spectral Clustering: Analysis and an algorithm,A Three Tiered Approach for Articulated Object Action Modeling and Recognition,1
208,1999-2002,8,On Spectral Clustering: Analysis and an algorithm,Fundamental Limitations of Spectral Clustering,1
209,2005-2008,9,A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,1
210,2005-2008,9,A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,1
211,2008-2011,10,A Scalable Hierarchical Distributed Language Model,A Neural Autoregressive Topic Model,1
212,2008-2011,10,A Scalable Hierarchical Distributed Language Model,An Autoencoder Approach to Learning Bilingual Word Representations,1
213,1987-1990,11,Spoken Letter Recognition,Speech Recognition using SVMs,1
214,1990-1993,12,Spoken Letter Recognition,Speech Recognition using SVMs,1
215,2005-2008,13,The Tradeoffs of Large Scale Learning,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1
216,2008-2011,0,Parallelized Stochastic Gradient Descent,Communication-Efficient Algorithms for Statistical Optimization,1
217,1999-2002,1,Products of Gaussians,Accelerating Bayesian Inference over Nonlinear Differential Equations with Gaussian Processes,1
218,1999-2002,2,Grouping and dimensionality reduction by locally linear embedding,Self-Tuning Spectral Clustering,1
219,1999-2002,2,Grouping and dimensionality reduction by locally linear embedding,Sparse Manifold Clustering and Embedding,1
220,2008-2011,3,Tiled convolutional neural networks,ICA with Reconstruction Cost for Efficient Overcomplete Feature Learning,1
221,2008-2011,3,Tiled convolutional neural networks,Deep Learning of Invariant Features via Simulated Fixations in Video,1
222,2008-2011,3,Tiled convolutional neural networks,Noise-Enhanced Associative Memories,1
223,2011-2014,4,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Learning with a Wasserstein Loss,1
224,1987-1990,5,Learning to Control an Unstable System with Forward Modeling,Fast Learning with Predictive Forward Models,1
225,2005-2008,6,Unsupervised Learning of Visual Sense Models for Polysemous Words,Filtering Abstract Senses From Image Search Results,1
226,2008-2011,7,Unsupervised Learning of Visual Sense Models for Polysemous Words,Filtering Abstract Senses From Image Search Results,1
227,2008-2011,8,Heavy-Tailed Process Priors for Selective Shrinkage,Robust Multi-Class Gaussian Process Classification,1
228,2011-2014,9,Phase Retrieval using Alternating Minimization,A Non-convex One-Pass Framework for Generalized Factorization Machine and Rank-One Matrix Sensing,1
229,2005-2008,10,Supervised Dictionary Learning,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition,1
230,2008-2011,11,Supervised Dictionary Learning,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition,1
231,2002-2005,12,Robust design of biological experiments,Selecting Observations against Adversarial Objectives,1
232,2002-2005,12,Robust design of biological experiments,Active Learning by Querying Informative and Representative Examples,1
233,2005-2008,13,Robust design of biological experiments,Selecting Observations against Adversarial Objectives,1
234,2005-2008,13,Robust design of biological experiments,Active Learning by Querying Informative and Representative Examples,1
235,2011-2014,0,A quasi-Newton proximal splitting method,Proximal Newton-type methods for convex optimization,1
236,2005-2008,1,Spatial Latent Dirichlet Allocation,A ``Shape Aware'' Model for semi-supervised Learning of Objects and its Context,1
237,1999-2002,2,Incremental A*,Speeding up the Parti-Game Algorithm,1
238,1999-2002,2,Incremental A*,ARA*: Anytime A* with Provable Bounds on Sub-Optimality,1
239,2014-2017,3,Asynchronous Parallel Stochastic Gradient for Nonconvex Optimization,The Sound of APALM Clapping: Faster Nonsmooth Nonconvex Optimization with Stochastic Asynchronous PALM,1
240,2008-2011,4,Prediction strategies without loss,The Pareto Regret Frontier,1
241,2008-2011,4,Prediction strategies without loss,The Pareto Regret Frontier for Bandits,1
242,2011-2014,5,Prediction strategies without loss,The Pareto Regret Frontier,1
243,2011-2014,5,Prediction strategies without loss,The Pareto Regret Frontier for Bandits,1
244,2008-2011,6,Algorithms and hardness results for parallel large margin learning,Accelerated Mini-Batch Stochastic Dual Coordinate Ascent,1
245,2011-2014,7,Algorithms and hardness results for parallel large margin learning,Accelerated Mini-Batch Stochastic Dual Coordinate Ascent,1
246,1987-1990,8,A self-organizing multiple-view representation of 3D objects,Plasticity Kernels and Temporal Statistics,1
247,2002-2005,9,Gaussian Process Dynamical Models,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,1
248,2002-2005,9,Gaussian Process Dynamical Models,Expectation Propagation in Gaussian Process Dynamical Systems,1
249,2005-2008,10,Gaussian Process Dynamical Models,Phoneme Classification using Constrained Variational Gaussian Process Dynamical System,1
250,2005-2008,10,Gaussian Process Dynamical Models,Expectation Propagation in Gaussian Process Dynamical Systems,1
251,1996-1999,11,Risk Sensitive Reinforcement Learning,Nonparametric Representation of Policies and Value Functions: A Trajectory-Based Approach,1
252,1996-1999,11,Risk Sensitive Reinforcement Learning,Minimax Differential Dynamic Programming: An Application to Robust Biped Walking,1
253,2008-2011,12,Replicated Softmax: an Undirected Topic Model,A Neural Autoregressive Topic Model,1
254,2008-2011,13,Probabilistic amplitude and frequency demodulation,Tree-structured Gaussian Process Approximations,1
255,2008-2011,13,Probabilistic amplitude and frequency demodulation,Stochastic Expectation Propagation,1
256,2011-2014,0,Probabilistic amplitude and frequency demodulation,Tree-structured Gaussian Process Approximations,1
257,2011-2014,0,Probabilistic amplitude and frequency demodulation,Stochastic Expectation Propagation,1
