Level1,Level2,Level3,Level4,Federal,,Total
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","FHI Trust Fund, Postal Service Employer Contributions (FICA)",0.59,b,0.59
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Military Retirement Fund",20.844,b,20.844
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",6.95,b,6.95
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Agency Contributions, Civil Service Retirement and Disability Fund",21.257,b,21.257
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",3.933,b,3.933
Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Foreign Service Retirement and Disability Fund",0.322,b,0.322
Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","FOASI, Federal Employer Contributions (FICA Taxes)",14.103,b,14.103
Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","FDI, Federal Employer Contributions (FICA Taxes)",2.395,b,2.395
Pensions,Old age,Employee Retirement  Benefit Payments (X11),,0,g,228.9
Pensions,Old age,Employee Retirement  Withdrawals (X12),,0,g,5.4
Pensions,Old age,Employee Retirement  Other Payments (Disc. 2005) (X14),,0,,0
Health Care,Medical service (Seniors),Medicare (571),"Federal Contributions, FSMI Fund",194.019,b,194.019
Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for Medicare Prescription Drug Account, FSMI",4.082,b,4.082
Health Care,Medical service (Seniors),Medicare (571),"Payments from States, Medicare Prescription Drug Account, FSMI",8.985,b,8.985
Health Care,Medical service (Seniors),Medicare (571),"Basic Premium, Medicare Advantage, FSMI Trust Fund",0.215,b,0.215
Health Care,Medical service (Seniors),Medicare (571),"Medicare Refunds, SMI",4.4,b,4.4
Health Care,Medical service (Seniors),Medicare (571),"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",0.424,b,0.424
Health Care,Medical service (Seniors),Medicare (571),"Federal Contributions for Benefits, Prescription Drug Account, SMI",56.194,b,56.194
Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for the Aged, FSMI Fund",54.735,b,54.735
Health Care,Medical service (Seniors),Medicare (571),Manufacturer Rebates,5.87,b,5.87
Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for the Disabled, FSMI Fund",10.513,b,10.513
Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Taxation on OASDI Benefits",20.811,b,20.811
Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Basic Premium, Medicare Advantage",0.225,b,0.225
Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payment from the General Fund for Health Care Fraud and Abuse Control Account",0.134,b,0.134
Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Transfers from General Fund (criminal Fines)",1.126,b,1.126
Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Medicare Refunds",5.8,b,5.8
Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",0.672,b,0.672
Health Care,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",3.552,b,3.552
Health Care,Medical service (Seniors),Medicare (571),Payments to Health Care Trust Funds,273.401,b,273.401
Health Care,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,3.761,b,3.761
Health Care,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,264.336,b,264.336
Health Care,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,2.195,b,2.195
Health Care,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,281.418,b,281.418
Health Care,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",0.399,b,0.399
Health Care,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",75.119,b,75.119
Health Care,Medical service (Seniors),Medicare (571),Health Care Fraud and Abuse Control Account,0.61,b,0.61
Health Care,Medical service (Seniors),Medicare (571),Health Care Fraud and Abuse Control Account,0.767,b,0.767
Health Care,Medical service,Federal Intergovernmental  Health and Hospitals (B42),,0,g,28.2
Health Care,Medical service,Current Operations  Health  Other (E32),,0,g,72.6
Health Care,Medical service,Current Operations  Hospitals (E36),,0,g,144.1
Health Care,Medical service,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0,,0
Health Care,Medical service,Construction  Health  Other (F32),,0,g,1.4
Health Care,Medical service,Construction  Hospitals (F36),,0,g,6.2
Health Care,Medical service,Construction  Hospitals  Other (Disc. 2005) (F38),,0,,0
Health Care,Medical service,Other Capital Outlay  Health  Other (G32),,0,g,0.6
Health Care,Medical service,Other Capital Outlay  Hospitals (G36),,0,g,3.2
Health Care,Medical service,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0,,0
Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.115,b,0.115
Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.455,b,0.455
Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.373,b,0.373
Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.132,b,0.132
Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.051,b,0.051
Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.947,b,0.947
Health Care,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,2.496,b,2.496
Health Care,Public health services,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0
Health Care,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),,0,,0
Health Care,Public health services,Construction  Environmental Health (NEW for 2007) (F27),,0,,0
Health Care,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0,,0
Health Care,R&D Health,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,0.15
Health Care,R&D Health,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",0.15,b,0.15
Health Care,R&D Health,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0.265,b,0.265
Health Care,R&D Health,Health research and training (552),Health Resources and Services,0.569,b,0.569
Health Care,R&D Health,Health research and training (552),Health Resources and Services,0.144,b,0.144
Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.194,b,0.194
Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.201,b,0.201
Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.712,b,0.712
Health Care,R&D Health,Health research and training (552),National Institutes of Health,30.314,b,30.314
Health Care,R&D Health,Health research and training (552),National Institutes of Health,0.167,b,0.167
Health Care,R&D Health,Health research and training (552),Healthcare Research and Quality,0.138,b,0.138
Health Care,R&D Health,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,0.051,b,0.051
Health Care,R&D Health,553,,0,,0
Health Care,Health n.e.c.,,,0,,0
Health Care,Vendor Payments (Welfare),Health care services (551),Supplemental Payments to UMWA Health Plans,0.175,b,0.175
Health Care,Vendor Payments (Welfare),Health care services (551),Abandoned Mine Reclamation Fund,0.056,b,0.056
Health Care,Vendor Payments (Welfare),Health care services (551),Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0.189,b,0.189
Health Care,Vendor Payments (Welfare),Health care services (551),Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0.2,b,0.2
Health Care,Vendor Payments (Welfare),Health care services (551),Department of Defense MedicareEligible Retiree Health Care Fund,9.727,b,9.727
Health Care,Vendor Payments (Welfare),Health care services (551),Biodefense Countermeasures,0.282,b,0.282
Health Care,Vendor Payments (Welfare),Health care services (551),"Government Payment for Annuitants, Employees Health Benefits",10.97,b,10.97
Health Care,Vendor Payments (Welfare),Health care services (551),Postal Service Retiree Health Benefits Fund,2.912,b,2.912
Health Care,Vendor Payments (Welfare),Health care services (551),Employees and Retired Employees Health Benefits Funds,0.059,b,0.059
Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America 1992 Benefit Plan,0.068,b,0.068
Health Care,Vendor Payments (Welfare),Health care services (551),Transfers from Abandoned Mine Reclamation Fund,0.056,b,0.056
Health Care,Vendor Payments (Welfare),Health care services (551),Federal Payment to United Mine Workers of America Combined Benefit Fund,0.175,b,0.175
Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America Combined Benefit Fund,0.134,b,0.134
Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America 1993 Benefit Plan,0.061,b,0.061
Health Care,Vendor Payments (Welfare),Health care services (551),"Maternal, Infant, and Early Childhood Home Visiting Programs",0.359,b,0.359
Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,2.463,b,2.463
Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,3.181,b,3.181
Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,1.679,b,1.679
Health Care,Vendor Payments (Welfare),Health care services (551),Vaccine Injury Compensation Program Trust Fund,0.242,b,0.242
Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Services,4.161,b,4.161
Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Services,0.156,b,0.156
Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Facilities,0.397,b,0.397
Health Care,Vendor Payments (Welfare),Health care services (551),CDCWide Activities and Program Support,1.936,b,1.936
Health Care,Vendor Payments (Welfare),Health care services (551),CDCWide Activities and Program Support,3.458,b,3.458
Health Care,Vendor Payments (Welfare),Health care services (551),"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0.077,b,0.077
Health Care,Vendor Payments (Welfare),Health care services (551),World Trade Center Health Program Fund,0.161,b,0.161
Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,2.965,b,2.965
Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,0.343,b,0.343
Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,0.097,b,0.097
Health Care,Vendor Payments (Welfare),Health care services (551),Rate Review Grants,0.08,b,0.08
Health Care,Vendor Payments (Welfare),Health care services (551),PreExisting Condition Insurance Plan Program,2.055,b,2.055
Health Care,Vendor Payments (Welfare),Health care services (551),Affordable Insurance Exchange Grants,1.087,b,1.087
Health Care,Vendor Payments (Welfare),Health care services (551),Consumer Operated and Oriented Plan Program Account,0.803,b,0.803
Health Care,Vendor Payments (Welfare),Health care services (551),Program Management,0.468,b,0.468
Health Care,Vendor Payments (Welfare),Health care services (551),Grants to States for Medicaid,282.819,b,282.819
Health Care,Vendor Payments (Welfare),Health care services (551),Children's Health Insurance Fund,10.027,b,10.027
Health Care,Vendor Payments (Welfare),Health care services (551),State Grants and Demonstrations,0.474,b,0.474
Health Care,Vendor Payments (Welfare),Health care services (551),Center for Medicare and Medicaid Innovation,1.09,b,1.09
Health Care,Vendor Payments (Welfare),Health care services (551),Child Enrollment Contingency Fund,0.2,b,0.2
Health Care,Vendor Payments (Welfare),Health care services (551),Health Insurance Reform Implementation Fund,0.344,b,0.344
Health Care,Vendor Payments (Welfare),Health care services (551),Office of the National Coordinator for Health Information Technology,0.418,b,0.418
Health Care,Vendor Payments (Welfare),Health care services (551),Public Health and Social Services Emergency Fund,0.374,b,0.374
Health Care,Vendor Payments (Welfare),Health care services (551),Public Health and Social Services Emergency Fund,1.507,b,1.507
Health Care,Vendor Payments (Welfare),Health care services (551),General Departmental Management,0.426,b,0.426
Health Care,Vendor Payments (Welfare),Health care services (551),Retirement Pay and Medical Benefits for Commissioned Officers,0.526,b,0.526
Health Care,Vendor Payments (Welfare),Health care services (551),Miscellaneous Trust Funds,0.069,b,0.069
Health Care,Vendor Payments (Welfare),Health care services (551),Office of the Inspector General,0.057,b,0.057
Health Care,Vendor Payments (Welfare),Federal Intergovernmental  Public Welfare (B79),,0,g,337.8
Health Care,Vendor Payments (Welfare),"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",,0,g,7.1
Health Care,Vendor Payments (Welfare),"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",,0,g,397
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.103,b,0.103
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0.673,b,0.673
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Payment to Issuer of Qualified School Construction Bonds,0.82,b,0.82
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,4.426,b,4.426
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,0.12,b,0.12
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Indian Student Education,0.123,b,0.123
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Impact Aid,1.26,b,1.26
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Supporting Student Success,0.323,b,0.323
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Accelerating Achievement and Ensuring Equity,15.364,b,15.364
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,1.305,b,1.305
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,0.494,b,0.494
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",English Learner Education,0.685,b,0.685
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,12.475,b,12.475
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,0.208,b,0.208
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Career, Technical and Adult Education",1.679,b,1.679
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",American Jobs Act,19.577,b,19.577
Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Federal Payment for School Improvement,0.06,b,0.06
Education,Preprimary thru secondary education,Federal Intergovernmental  Education (B21),,0,g,104.4
Education,Preprimary thru secondary education,Current Operations  Elementary and Secondary Education (E12),,0,g,413.3
Education,Preprimary thru secondary education,Construction  Elementary and Secondary Education (F12),,0,g,40.3
Education,Preprimary thru secondary education,Other Capital Outlay  Elementary and Secondary Education (G12),,0,g,17.1
Education,Tertiary education,Higher education (502),Payment Where American Opportunity Credit Exceeds Liability for TAX,7.541,b,7.541
Education,Tertiary education,Higher education (502),"Federal Family Education Loan Program, Negative Subsidies",3.39,b,3.39
Education,Tertiary education,Higher education (502),"Federal Direct Student Loan Program, Negative Subsidies",28.709,b,28.709
Education,Tertiary education,Higher education (502),"Federal Perkins Loan, Negative Subsidies",0.648,b,0.648
Education,Tertiary education,Higher education (502),National Technical Institute for the Deaf,0.063,b,0.063
Education,Tertiary education,Higher education (502),Gallaudet University,0.124,b,0.124
Education,Tertiary education,Higher education (502),Higher Education,0.361,b,0.361
Education,Tertiary education,Higher education (502),Higher Education,1.554,b,1.554
Education,Tertiary education,Higher education (502),Higher Education,0.444,b,0.444
Education,Tertiary education,Higher education (502),Howard University,0.234,b,0.234
Education,Tertiary education,Higher education (502),Student Financial Assistance,24.105,b,24.105
Education,Tertiary education,Higher education (502),Student Financial Assistance,13.553,b,13.553
Education,Tertiary education,Higher education (502),Student Aid Administration,1.041,b,1.041
Education,Tertiary education,Higher education (502),Student Aid Administration,0.29,b,0.29
Education,Tertiary education,Higher education (502),Federal Family Education Loan Liquidating Account,0.335,b,0.335
Education,Tertiary education,Higher education (502),Federal Student Loan Reserve Fund,0.244,b,0.244
Education,Tertiary education,Current Operations  Higher Education Auxiliary Enterprises (E16),,0,g,24
Education,Tertiary education,Current Operations  Other Higher Education (E18),,0,g,206
Education,Tertiary education,Construction  Higher Education  Auxiliary Enterprises (F16),,0,g,4
Education,Tertiary education,Construction  Other Higher Education (F18),,0,g,22.4
Education,Tertiary education,Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),,0,g,0.3
Education,Tertiary education,Other Capital Outlay  Other Higher Education (G18),,0,g,6
Education,Education not definable by level,General science and basic research (251),Science,6.47,b,6.47
Education,Education not definable by level,General science and basic research (251),Research and Related Activities,5.864,b,5.864
Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0.88,b,0.88
Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0.15,b,0.15
Education,Education not definable by level,General science and basic research (251),Agency Operations and Award Management,0.296,b,0.296
Education,Education not definable by level,General science and basic research (251),Major Research Equipment and Facilities Construction,0.254,b,0.254
Education,Education not definable by level,Space flight (253),,0,,0
Education,Education not definable by level,"Space, science, applications, and technology (254)",,0,,0
Education,Education not definable by level,Supporting space activities (255),,0,,0
Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0.074,b,0.074
Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0.476,b,0.476
Education,Education not definable by level,Research and general education aids (503),Program Administration,0.452,b,0.452
Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, Library of Congress",0.409,b,0.409
Education,Education not definable by level,Research and general education aids (503),Books for the Blind and Physically Handicapped: Salaries and Expenses,0.053,b,0.053
Education,Education not definable by level,Research and general education aids (503),Corporation for Public Broadcasting,0.445,b,0.445
Education,Education not definable by level,Research and general education aids (503),National Endowment for the Arts: Grants and Administration,0.107,b,0.107
Education,Education not definable by level,Research and general education aids (503),National Endowment for the Humanities: Grants and Administration,0.159,b,0.159
Education,Education not definable by level,Research and general education aids (503),Salaries and Expenses,0.664,b,0.664
Education,Education not definable by level,Research and general education aids (503),Facilities Capital,0.158,b,0.158
Education,Education not definable by level,Research and general education aids (503),"Salaries and Expenses, National Gallery of Art",0.129,b,0.129
Education,Education not definable by level,Research and general education aids (503),Holocaust Memorial Museum,0.052,b,0.052
Education,Education not definable by level,Research and general education aids (503),Office of Museum and Library Services: Grants and Administration,0.26,b,0.26
Education,Education not definable by level,Training and employment (504),American Jobs Act,12.147,b,12.147
Education,Education not definable by level,Training and employment (504),Program Administration,0.102,b,0.102
Education,Education not definable by level,Training and employment (504),Training and Employment Services,2.919,b,2.919
Education,Education not definable by level,Training and employment (504),Training and Employment Services,0.612,b,0.612
Education,Education not definable by level,Training and employment (504),Training and Employment Services,0.156,b,0.156
Education,Education not definable by level,Training and employment (504),Community Service Employment for Older Americans,0.351,b,0.351
Education,Education not definable by level,Training and employment (504),State Unemployment Insurance and Employment Service Operations,0.078,b,0.078
Education,Education not definable by level,Training and employment (504),Office of Job Corps,1.854,b,1.854
Education,Education not definable by level,Training and employment (504),TAA Community College and Career Training Grant Fund,0.632,b,0.632
Education,Education not definable by level,Training and employment (504),Federal Unemployment Benefits and Allowances,0.793,b,0.793
Education,Education not definable by level,Training and employment (504),Unemployment Trust Fund,0.925,b,0.925
Education,Education not definable by level,Training and employment (504),Unemployment Trust Fund,0.182,b,0.182
Education,Education not definable by level,Training and employment (504),Payment in Lieu of Tax Credit for New Jobs and Wage Increases,0.615,b,0.615
Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.115,b,0.115
Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.233,b,0.233
Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.549,b,0.549
Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.101,b,0.101
Education,Education not definable by level,Other labor services (505),Office of the Inspector General,0.082,b,0.082
Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.357,b,0.357
Education,Education not definable by level,Other labor services (505),Salaries and Expenses,0.288,b,0.288
Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,0.137,b,0.137
Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,0.215,b,0.215
Education,Education not definable by level,Social services (506),Rehabilitation Services and Disability Research,3.292,b,3.292
Education,Education not definable by level,Social services (506),Salaries and Expenses,0.084,b,0.084
Education,Education not definable by level,Social services (506),Payment to National Service Trust Fund,0.209,b,0.209
Education,Education not definable by level,Social services (506),Operating Expenses,0.266,b,0.266
Education,Education not definable by level,Social services (506),Operating Expenses,0.536,b,0.536
Education,Education not definable by level,Social services (506),"Payment from the General Fund, National Service Trust Fund",0.209,b,0.209
Education,Education not definable by level,Social services (506),Gifts and Contributions,0.181,b,0.181
Education,Education not definable by level,Social services (506),Gifts and Contributions,0.068,b,0.068
Education,Education not definable by level,Social services (506),Supporting Healthy Families and Adolescent Development,0.063,b,0.063
Education,Education not definable by level,Social services (506),Supporting Healthy Families and Adolescent Development,0.47,b,0.47
Education,Education not definable by level,Social services (506),Social Services Block Grant,1.792,b,1.792
Education,Education not definable by level,Social services (506),Children and Families Services Programs,9.463,b,9.463
Education,Education not definable by level,Social services (506),Children and Families Services Programs,0.379,b,0.379
Education,Education not definable by level,Social services (506),Aging Services Programs,1.756,b,1.756
Education,Education not definable by level,"Current Operations  Educational Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",,0,,0
Education,Education not definable by level,Current Operations  State Education  Other (E21),,0,g,16.4
Education,Education not definable by level,Current Operations  Libraries (E52),,0,g,9.8
Education,Education not definable by level,Construction  State Education  Other (F21),,0,g,0.9
Education,Education not definable by level,Construction  Libraries (F52),,0,g,0.8
Education,Education not definable by level,Other Capital Outlay  State Education  Other (G21),,0,g,0.2
Education,Education not definable by level,Other Capital Outlay  Libraries (G52),,0,g,0.6
Education,Education not definable by level,Assistance and Subsidies  State Scholarships and Other Subsidies  Education (J19),,0,g,26.9
Education,Subsidiary services to education,,,0,,0
Education,R&D Education,,,0,,0
Education,Education n.e.c.,,,0,,0
Defense,Military defense,Department of Defense  Military (051),"Recoveries under the Foreign Military Sales Program, Navy",0.156,b,0.156
Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Navy",0.082,b,0.082
Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Army",0.068,b,0.068
Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Air Force",0.097,b,0.097
Defense,Military defense,Department of Defense  Military (051),"General Fund Proprietary Receipts, not Otherwise Classified, Defense Agencies",0.087,b,0.087
Defense,Military defense,Department of Defense  Military (051),Contributions for Burdensharing and Other Cooperative Activities (Kuwait),0.213,b,0.213
Defense,Military defense,Department of Defense  Military (051),Contributions for Burdensharing and Other Cooperative Activities (Japan),0.322,b,0.322
Defense,Military defense,Department of Defense  Military (051),Contributions for Burdensharing and Other Cooperative Activities (So. Korea),0.37,b,0.37
Defense,Military defense,Department of Defense  Military (051),Payment to Voluntary Separation Incentive Fund,0.055,b,0.055
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Defensewide",41.696,b,41.696
Defense,Military defense,Department of Defense  Military (051),Drug Interdiction and CounterDrug Activities,1.482,b,1.482
Defense,Military defense,Department of Defense  Military (051),Office of the Inspector General,0.304,b,0.304
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Marine Corps",9.65,b,9.65
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Marine Corps Reserve",0.309,b,0.309
Defense,Military defense,Department of Defense  Military (051),Department of Defense Acquisition Workforce Development Fund,0.251,b,0.251
Defense,Military defense,Department of Defense  Military (051),Defense Health Program,33.605,b,33.605
Defense,Military defense,Department of Defense  Military (051),Cooperative Threat Reduction Account,0.393,b,0.393
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Navy",46.692,b,46.692
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Navy Reserve",1.349,b,1.349
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Army",76.108,b,76.108
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Army National Guard",7.377,b,7.377
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Army Reserve",3.212,b,3.212
Defense,Military defense,Department of Defense  Military (051),Afghanistan Security Forces Fund,8.809,b,8.809
Defense,Military defense,Department of Defense  Military (051),Iraq Security Forces Fund,0.465,b,0.465
Defense,Military defense,Department of Defense  Military (051),Afghanistan Infrastructure Fund,0.356,b,0.356
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Air Force",50.33,b,50.33
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Air Force Reserve",3.307,b,3.307
Defense,Military defense,Department of Defense  Military (051),"Operation and Maintenance, Air National Guard",6.064,b,6.064
Defense,Military defense,Department of Defense  Military (051),Military Intelligence Program Transfer Fund,0.078,b,0.078
Defense,Military defense,Department of Defense  Military (051),The Department of Defense Environmental Restoration Accounts,0.951,b,0.951
Defense,Military defense,Department of Defense  Military (051),"Environmental Restoration, Formerly Used Defense Sites",0.225,b,0.225
