Level1,Level2,Level3,Level4,Citations,Papers,Paper_ID,Top_Words1,Top_Topic1,KCluster
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,1,1,2882,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,1,1,2882,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Linear decision rule as aspiration for simple decision heuristics,Learning From Small Samples: An Analysis of Simple Decision Heuristics,1,1,4888,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1999-2002,"classifier, problem, set, training, algorithm, rate, kernel, one, svm, learning",Prodding the ROC Curve: Constrained Optimization of Classifier Performance,Confidence Intervals for the Area Under the ROC Curve,1,1,2095,"classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1993-1996,"eeg, lea, ica, data, independent, source, channels, analysis, algorithm, brain",Independent Component Analysis of Electroencephalographic Data,Extended ICA Removes Artifacts from Electroencephalographic Recordings,1,1,1091,"eeg', u'lea', u'ica', u'data', u'independent', u'source', u'channels', u'analysis', u'algorithm', u'brain']",[8],9
2008-2011,"submodular, function, functions, algorithm, minimization, potentials, set, concave, slg, problem",Efficient Minimization of Decomposable Submodular Functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1,1,4028,"submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,"submodular, function, functions, algorithm, minimization, potentials, set, concave, slg, problem",Efficient Minimization of Decomposable Submodular Functions,Cooperative Graphical Models,1,1,4028,"submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,1,1,4372,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,1,1,4372,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,1,1,4372,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,"decision, model, effects, rankings, models, feature, decisions, utility, preference, participants",Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,1,1,4372,"decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
1987-1990,"neuron, neurons, synapse, time, analog, digital, synaptic, computer, input, output",A Programmable Analog Neural Computer and Simulator,A Reconfigurable Analog VLSI Neural Network Chip,1,1,166,"neuron', u'neurons', u'synapse', u'time', u'analog', u'digital', u'synaptic', u'computer', u'input', u'output']",[5],6
2011-2014,"matrix, linear, algorithm, sampling, sgd, factorization, hott, rows, nonnegative, convex","Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1,1,5355,"matrix', u'linear', u'algorithm', u'sampling', u'sgd', u'factorization', u'hott', u'rows', u'nonnegative', u'convex']",[6],2
2014-2017,"sampling, sgd, linear, dependence, sup, k22, convergence, convex, weighted, weights","Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1,1,5355,"sampling', u'sgd', u'linear', u'dependence', u'sup', u'k22', u'convergence', u'convex', u'weighted', u'weights']",[3],2
1987-1990,"axon, conduction, activity, threshold, impulse, figure, nerve, single, frequency, firing",Presynaptic Neural Information Processing,"Does the Neuron ""Learn"" like the Synapse?",1,1,84,"axon', u'conduction', u'activity', u'threshold', u'impulse', u'figure', u'nerve', u'single', u'frequency', u'firing']",[4],4
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Speakers optimize information density through syntactic reduction,Inference and communication in the game of Password,1,1,3129,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Speakers optimize information density through syntactic reduction,Why are some word orders more common than others? A uniform information density account,1,1,3129,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",An LP View of the M-best MAP problem,Maximum Margin Multi-Label Structured Prediction,1,1,3745,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",An LP View of the M-best MAP problem,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,1,1,3745,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Expectation Propagation in Gaussian Process Dynamical Systems,Gaussian Process Volatility Model,1,1,4707,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Robustness and risk-sensitivity in Markov decision processes,Policy Gradient for Coherent Risk Measures,1,1,4693,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1999-2002,"causal, model, learning, power, theory, cause, non, contingent, potential, curves",Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1,1,2158,"causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[0],7
1999-2002,"causal, model, learning, power, theory, cause, non, contingent, potential, curves",Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,1,1,2158,"causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[0],7
2002-2005,"causal, model, learning, power, theory, cause, non, contingent, potential, curves",Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1,1,2158,"causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[9],7
2002-2005,"causal, model, learning, power, theory, cause, non, contingent, potential, curves",Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,1,1,2158,"causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[9],7
2008-2011,"image, images, object, visual, concept, content, objects, class, set, face",Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,1,1,4318,"image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2011-2014,"class, object, visual, face, vol, viewpoint, objects, model, faces, cells",Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,1,1,4318,"class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Optimal kernel choice for large-scale two-sample tests,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,1,1,4727,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Optimal kernel choice for large-scale two-sample tests,"B-test: A Non-parametric, Low Variance Kernel Two-sample Test",1,1,4727,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Optimal kernel choice for large-scale two-sample tests,Fast Two-Sample Testing with Analytic Representations of Probability Measures,1,1,4727,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Optimal kernel choice for large-scale two-sample tests,Interpretable Distribution Features with Maximum Testing Power,1,1,4727,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,"network, training, layer, learning, networks, image, neural, layers, object, using",Optimal kernel choice for large-scale two-sample tests,Multivariate tests of association based on univariate tests,1,1,4727,"network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Saliency Based on Information Maximization,Graph-Based Visual Saliency,1,1,2830,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,"features, means, feature, data, model, number, error, using, learning, two",Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,1,1,2830,"features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Saliency Based on Information Maximization,Graph-Based Visual Saliency,1,1,2830,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,"graph, model, target, information, one, model, spike, time, neural, data",Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,1,1,2830,"graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
1993-1996,"path, data, model, two, based, problem, functional, models, points, density",A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,1,1,1283,"path', u'data', u'model', u'two', u'based', u'problem', u'functional', u'models', u'points', u'density']",[0],4
1996-1999,"data, model, algorithm, learning, matrix, space, function, risk, gaussian, binary",A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,1,1,1283,"data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Learning to categorize objects using temporal coherence,Learning Temporally Persistent Hierarchical Representations,1,1,596,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,"network, learning, time, unit, output, pattern, information, units, temporal, patterns",Learning to categorize objects using temporal coherence,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,1,1,596,"network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Neurometric function analysis of population codes,Evaluating neuronal codes for inference using Fisher information,1,1,3631,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,"data, model, algorithm, log, problem, clustering, approximation, matrix, set, bound",Neurometric function analysis of population codes,Implicit encoding of prior probabilities in optimal neural populations,1,1,3631,"data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Modeling homophily and stochastic equivalence in symmetric relational data,Gaussian Process Models for Link Analysis and Transfer Learning,1,1,3294,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Modeling homophily and stochastic equivalence in symmetric relational data,Confidence Sets for Network Structure,1,1,3294,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,"graph, model, target, information, one, different, visual, two, figure, data",Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,1,1,3294,"graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
