Level1,Level2,Level3,Level4,Total,Paper_ID,Top_Words1,Top_Topic1
2005-2008,5,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,228.9,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,5.4,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,0,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,194.019,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,4.082,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,8.985,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,0.215,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,4.4,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,0.424,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,56.194,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,54.735,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,5.87,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,10.513,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,20.811,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,0.225,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,0.134,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,1.126,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,5.8,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,0.672,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,3.552,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,273.401,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,3.761,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,264.336,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",2.195,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,281.418,2882,"model, data, learning, models, figure, two, image, distribution, images, one",4
2011-2014,6,Linear decision rule as aspiration for simple decision heuristics,Learning From Small Samples: An Analysis of Simple Decision Heuristics,0.399,4888,"training, learning, network, networks, neural, using, set, data, model, layer",4
1999-2002,7,Prodding the ROC Curve: Constrained Optimization of Classifier Performance,Confidence Intervals for the Area Under the ROC Curve,75.119,2095,"data, set, one, training, model, problem, function, figure, two, linear",5
1993-1996,8,Independent Component Analysis of Electroencephalographic Data,Extended ICA Removes Artifacts from Electroencephalographic Recordings,0.61,1091,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2008-2011,9,Efficient Minimization of Decomposable Submodular Functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,0.767,4028,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,9,Efficient Minimization of Decomposable Submodular Functions,Cooperative Graphical Models,28.2,4028,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,72.6,4372,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,10,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,144.1,4372,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,11,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,0,4372,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,11,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,1.4,4372,"training, learning, network, networks, neural, using, set, data, model, layer",4
1987-1990,12,A Programmable Analog Neural Computer and Simulator,A Reconfigurable Analog VLSI Neural Network Chip,6.2,166,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
2011-2014,13,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,0,5355,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,0,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,0.6,5355,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
1987-1990,1,Presynaptic Neural Information Processing,"Does the Neuron ""Learn"" like the Synapse?",3.2,84,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
2005-2008,2,Speakers optimize information density through syntactic reduction,Inference and communication in the game of Password,0,3129,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,2,Speakers optimize information density through syntactic reduction,Why are some word orders more common than others? A uniform information density account,0.115,3129,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,3,An LP View of the M-best MAP problem,Maximum Margin Multi-Label Structured Prediction,0.455,3745,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,3,An LP View of the M-best MAP problem,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,0.373,3745,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,4,Expectation Propagation in Gaussian Process Dynamical Systems,Gaussian Process Volatility Model,0.132,4707,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,5,Robustness and risk-sensitivity in Markov decision processes,Policy Gradient for Coherent Risk Measures,0.051,4693,"training, learning, network, networks, neural, using, set, data, model, layer",4
1999-2002,6,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,0.947,2158,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,6,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,2.496,2158,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,7,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,0,2158,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2002-2005,7,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,0,2158,"data, model, distance, latent, kernel, model, data, means, learning, training",7
2008-2011,8,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,0,4318,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,9,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,0,4318,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,0.15,4727,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,"B-test: A Non-parametric, Low Variance Kernel Two-sample Test",0.15,4727,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Fast Two-Sample Testing with Analytic Representations of Probability Measures,0.265,4727,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Interpretable Distribution Features with Maximum Testing Power,0.569,4727,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Multivariate tests of association based on univariate tests,0.144,4727,"training, learning, network, networks, neural, using, set, data, model, layer",4
2002-2005,11,Saliency Based on Information Maximization,Graph-Based Visual Saliency,0.194,2830,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2002-2005,11,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,0.201,2830,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
2005-2008,12,Saliency Based on Information Maximization,Graph-Based Visual Saliency,0.712,2830,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,12,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,30.314,2830,"model, data, learning, models, figure, two, image, distribution, images, one",4
1993-1996,13,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,0.167,1283,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
1996-1999,0,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,0.138,1283,"data, model, gaussian, networks, learning, distribution, function, models, variables, neural",2
1990-1993,1,Learning to categorize objects using temporal coherence,Learning Temporally Persistent Hierarchical Representations,0.051,596,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
1990-1993,1,Learning to categorize objects using temporal coherence,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,0,596,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
2008-2011,2,Neurometric function analysis of population codes,Evaluating neuronal codes for inference using Fisher information,0,3631,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2008-2011,2,Neurometric function analysis of population codes,Implicit encoding of prior probabilities in optimal neural populations,0.175,3631,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Gaussian Process Models for Link Analysis and Transfer Learning,0.056,3294,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Confidence Sets for Network Structure,0.189,3294,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,0.2,3294,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,9.727,3294,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Stochastic blockmodel approximation of a graphon: Theory and consistent estimation,0.282,3294,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,10.97,3294,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Bayesian latent structure discovery from multi-neuron recordings,2.912,3294,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,4,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,0.059,4430,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,5,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,0.068,4430,"training, learning, network, networks, neural, using, set, data, model, layer",4
2005-2008,6,Supervised Topic Models,Latent Support Measure Machines for Bag-of-Words Data Classification,0.056,3328,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,7,Neural Implementation of Hierarchical Bayesian Inference by Importance Sampling,Rational inference of relative preferences,0.175,3782,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1999-2002,8,Sampling Techniques for Kernel Methods,Hierarchical Eigensolver for Transition Matrices in Spectral Methods,0.134,2072,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,8,Sampling Techniques for Kernel Methods,QUIC-SVD: Fast SVD Using Cosine Trees,0.061,2072,"data, set, one, training, model, problem, function, figure, two, linear",5
2002-2005,9,Online Learning of Non-stationary Sequences,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,0.359,2440,"data, model, distance, latent, kernel, set, feature, using, image, learning",0
1990-1993,10,Diffusion Approximations for the Constant Learning Rate Backpropagation Algorithm and Resistence to Local Minima,Asymptotics of Gradient-based Neural Network Training Algorithms,2.463,650,"network, architecture, networks, learning, expert, output, task, units, unit, input",5
2011-2014,11,Robust learning of low-dimensional dynamics from large neural ensembles,Clustered factor analysis of multineuronal spike data,3.181,4995,"training, learning, network, networks, neural, using, set, data, model, layer",4
1993-1996,12,Examples of learning curves from a modified VC-formalism,MLP Can Provably Generalize Much Better than VC-bounds Indicate,1.679,1086,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2011-2014,13,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,0.242,5552,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,0,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,4.161,5552,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2011-2014,1,Bayesian inference for low rank spatiotemporal neural receptive fields,On Prior Distributions and Approximate Inference for Structured Variables,0.156,4992,"training, learning, network, networks, neural, using, set, data, model, layer",4
2005-2008,2,Conditional mean field,Sequential Monte Carlo for Graphical Models,0.397,3118,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,3,Progressive mixture rules are deviation suboptimal,Greedy Model Averaging,1.936,3303,"model, data, learning, models, figure, two, image, distribution, images, one",4
1999-2002,4,Laplacian Eigenmaps and Spectral Techniques for Embedding and Clustering,Locality Preserving Projections,3.458,1961,"data, set, one, training, model, problem, function, figure, two, linear",5
2011-2014,5,One-shot learning by inverting a compositional causal process,Unsupervised Learning by Program Synthesis,0.077,5128,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,5,One-shot learning by inverting a compositional causal process,Softstar: Heuristic-Guided Probabilistic Inference,0.161,5128,"training, learning, network, networks, neural, using, set, data, model, layer",4
2011-2014,5,One-shot learning by inverting a compositional causal process,Ladder Variational Autoencoders,2.965,5128,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,6,Copula variational inference,Stein Variational Gradient Descent: A General Purpose Bayesian Inference Algorithm,0.343,5669,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2014-2017,6,Copula variational inference,Scaling Factorial Hidden Markov Models: Stochastic Variational Inference without Messages,0.097,5669,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2008-2011,7,Large Margin Multi-Task Metric Learning,Similarity Component Analysis,0.08,3935,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2011-2014,8,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",2.055,5346,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,9,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",1.087,5346,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
2011-2014,10,Learning Stochastic Inverses,Just-In-Time Learning for Fast and Flexible Inference,0.803,4966,"training, learning, network, networks, neural, using, set, data, model, layer",4
2005-2008,11,How SVMs can estimate quantiles and the median,Sparsity of SVMs that use the epsilon-insensitive loss,0.468,3180,"model, data, learning, models, figure, two, image, distribution, images, one",4
1993-1996,12,A Practical Monte Carlo Implementation of Bayesian Learning,Gaussian Processes for Regression,282.819,1029,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
2008-2011,13,Spike timing-dependent plasticity as dynamic filter,Towards a learning-theoretic analysis of spike-timing dependent plasticity,10.027,3917,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
2005-2008,0,Natural Actor-Critic for Road Traffic Optimisation,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,0.474,3087,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Linear Classification and Selective Sampling Under Low Noise Conditions,1.09,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Sufficient Conditions for Agnostic Active Learnable,0.2,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Multi-View Active Learning in the Non-Realizable Case,0.344,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Agnostic Active Learning Without Constraints,0.418,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Active Learning with a Drifting Distribution,0.374,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Lower Bounds for Passive and Active Learning,1.507,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Agnostic Selective Classification,0.426,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,0.526,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Auditing: Active Learning with Outcome-Dependent Query Costs,0.069,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Statistical Active Learning Algorithms,0.057,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Beyond Disagreement-Based Agnostic Active Learning,337.8,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Active Regression by Stratification,7.1,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Convergence Rates of Active Learning for Maximum Likelihood Estimation,397,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Efficient and Parsimonious Agnostic Active Learning,0.103,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Active Learning from Weak and Strong Labelers,0.673,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Active Learning with Oracle Epiphany,0.82,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Active Learning from Imperfect Labelers,4.426,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2005-2008,1,A general agnostic active learning algorithm,Search Improves Label for Active Learning,0.12,3325,"model, data, learning, models, figure, two, image, distribution, images, one",4
2008-2011,2,Free energy score space,Documents as multiple overlapping windows into grids of counts,0.123,3830,"function, set, learning, data, algorithm, problem, functions, graph, one, loss",4
1987-1990,3,An Optimality Principle for Unsupervised Learning,Unsupervised Learning of Mixtures of Multiple Causes in Binary Data,1.26,139,"neuron, neurons, synapse, analog, digital, chip, time, computer, synapses, input",8
2011-2014,4,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,0.323,5528,"training, learning, network, networks, neural, using, set, data, model, layer",4
2014-2017,5,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,15.364,5528,"log, algorithm, problem, regret, bound, learning, model, set, probability, theorem",1
1999-2002,6,Structure Learning in Human Causal Induction,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1.305,1845,"data, set, one, training, model, problem, function, figure, two, linear",5
1999-2002,6,Structure Learning in Human Causal Induction,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,0.494,1845,"data, set, one, training, model, problem, function, figure, two, linear",5
1993-1996,7,A Charge-Based CMOS Parallel Analog Vector Quantizer,Stochastic Mixed-Signal VLSI Architecture for High-Dimensional Kernel Machines,0.685,947,"data, decision, function, tree, algorithm, neural, learning, value, set, figure",9
